time,open,volume,MACD,MACD_Hist,MACD_Signal,high,low
5/31/2023 11:46,416.73,136115,0.0281,0.0477,-0.0196,417.16,416.59
5/31/2023 11:45,416.67,64554,0.0141,0.0456,-0.0316,417.16,416.59
5/31/2023 11:44,416.755,113616,0.002,0.045,-0.043,417.16,416.59
5/31/2023 11:43,416.61,142673,-0.022,0.0322,-0.0542,417.16,416.59
5/31/2023 11:42,416.5901,115153,-0.0376,0.0247,-0.0623,417.16,416.435
5/31/2023 11:41,416.435,101120,-0.0549,0.0136,-0.0684,417.16,416.39
5/31/2023 11:40,416.39,62988,-0.0604,0.0115,-0.0718,417.16,416.39
5/31/2023 11:39,416.45,100951,-0.0619,0.0128,-0.0747,417.16,416.39
5/31/2023 11:38,416.55,111557,-0.0691,0.0088,-0.0779,417.16,416.34
5/31/2023 11:37,416.34,137939,-0.0875,-0.0074,-0.0801,417.16,416.32
5/31/2023 11:36,416.32,124938,-0.0882,-0.01,-0.0782,417.16,416.32
5/31/2023 11:35,416.39,112141,-0.0859,-0.0102,-0.0757,417.16,416.32
5/31/2023 11:34,416.35,116377,-0.0888,-0.0156,-0.0732,417.16,416.32
5/31/2023 11:33,416.37,94317,-0.0872,-0.0179,-0.0693,417.16,416.32
5/31/2023 11:32,416.38,142246,-0.0858,-0.021,-0.0648,417.16,416.32
5/31/2023 11:31,416.33,97510,-0.0839,-0.0243,-0.0596,417.16,416.295
5/31/2023 11:30,416.295,138355,-0.0751,-0.0216,-0.0535,417.16,416.295
5/31/2023 11:29,416.33,112980,-0.0592,-0.0112,-0.0481,417.16,416.295
5/31/2023 11:28,416.4701,215373,-0.0417,0.0036,-0.0453,417.16,416.295
5/31/2023 11:27,416.53,93706,-0.0329,0.0132,-0.0462,417.16,416.295
5/31/2023 11:26,416.635,78630,-0.0274,0.0221,-0.0495,417.16,416.295
5/31/2023 11:25,416.65,85431,-0.0306,0.0244,-0.055,417.16,416.295
5/31/2023 11:24,416.64,82471,-0.0358,0.0253,-0.0611,417.16,416.295
5/31/2023 11:23,416.68,109291,-0.0409,0.0266,-0.0675,417.16,416.295
5/31/2023 11:22,416.73,88994,-0.0508,0.0233,-0.0741,417.16,416.295
5/31/2023 11:21,416.72,74401,-0.0679,0.012,-0.0799,417.16,416.295
5/31/2023 11:20,416.5,169831,-0.0877,-0.0048,-0.0829,417.16,416.295
5/31/2023 11:19,416.47,168854,-0.0893,-0.0075,-0.0817,417.16,416.295
5/31/2023 11:18,416.57,117787,-0.0869,-0.0071,-0.0799,417.16,416.295
5/31/2023 11:17,416.5,61785,-0.0928,-0.0147,-0.0781,417.16,416.295
5/31/2023 11:16,416.5,137364,-0.0919,-0.0175,-0.0744,417.16,416.295
5/31/2023 11:15,416.48,140175,-0.0894,-0.0193,-0.07,417.16,416.295
5/31/2023 11:14,416.5707,338036,-0.0828,-0.0176,-0.0652,417.16,416.295
5/31/2023 11:13,416.52,165023,-0.0825,-0.0217,-0.0608,417.16,416.295
5/31/2023 11:12,416.54,133425,-0.0757,-0.0204,-0.0554,417.16,416.295
5/31/2023 11:11,416.695,107918,-0.068,-0.0177,-0.0503,417.16,416.295
5/31/2023 11:10,416.5736,125224,-0.0729,-0.0271,-0.0458,417.16,416.295
5/31/2023 11:09,416.63,73144,-0.0658,-0.0268,-0.039,417.16,416.295
5/31/2023 11:08,416.55,131258,-0.0615,-0.0292,-0.0324,417.16,416.295
5/31/2023 11:07,416.67,60483,-0.047,-0.0219,-0.0251,417.16,416.295
5/31/2023 11:06,416.59,117149,-0.04,-0.0204,-0.0196,417.16,416.295
5/31/2023 11:05,416.8,101666,-0.0223,-0.0078,-0.0145,417.07,416.295
5/31/2023 11:04,416.67,76742,-0.0208,-0.0083,-0.0125,417.07,416.295
5/31/2023 11:03,416.83,134218,-0.0054,0.0051,-0.0104,417.07,416.295
5/31/2023 11:02,416.94,150832,-0.0018,0.0099,-0.0117,417.07,416.295
5/31/2023 11:01,416.73,164932,-0.0085,0.0057,-0.0142,417.07,416.295
5/31/2023 11:00,416.86,142228,0.0044,0.02,-0.0156,417.07,416.295
5/31/2023 10:59,416.82,88421,0.0077,0.0283,-0.0206,417.07,416.295
5/31/2023 10:58,416.87,231128,0.0158,0.0435,-0.0277,417.19,416.295
5/31/2023 10:57,417.19,221078,0.0208,0.0594,-0.0386,417.19,416.295
5/31/2023 10:56,417.035,150985,-0.0056,0.0478,-0.0534,417.19,416.295
5/31/2023 10:55,416.855,215131,-0.0235,0.0418,-0.0654,417.19,416.295
5/31/2023 10:54,416.81,124273,-0.0277,0.0481,-0.0758,417.19,416.295
5/31/2023 10:53,416.91,173971,-0.0281,0.0597,-0.0878,417.19,416.295
5/31/2023 10:52,416.91,121609,-0.0383,0.0644,-0.1028,417.19,416.295
